ID	TITLE
00001	HGC 730B                                                                        
00002	HGC 730D                                                                        
00003	HGC 735B                                                                        
00004	HGC 735C                                                                        
00005	HGC 735H                                                                        
00006	HGC 735I                                                                        
00007	HGC 740B                                                                        
00008	HGC 740E                                                                        
00009	HGC 745B                                                                        
00010	HGC 750                                                                         
00011	HGC 755                                                                         
00012	HGC 760                                                                         
00013	HGC 815B                                                                        
00014	HGC 820                                                                         
00015	HGC 825                                                                         
