ID	TITLE
00001	HPM 500                                                                         
00002	HPM 500D                                                                        
00003	HPM 501                                                                         
00004	HPM 502                                                                         
00005	HPM 510                                                                         
00006	HPM 521                                                                         
00007	HPM 525                                                                         
00008	HPM 554                                                                         
00009	HPM 555                                                                         
00010	HPM 560                                                                         
00011	HPM 565                                                                         
00012	HPM 576                                                                         
00013	HPM 577                                                                         
00014	HPM 581                                                                         
00015	HPM 583                                                                         
00016	HPM 585                                                                         
00017	HPM 587                                                                         
00018	HPM 590R                                                                        
00019	HPM 595                                                                         
00020	HPM 597R                                                                        
00021	HPM 598R                                                                        
00022	HPM 599R                                                                        
00023	HPM 760                                                                         
00024	HPM 798R                                                                        
00025	HPM 799R                                                                        
