ID	TITLE
00001	PSYC 110                                                                        
00002	PSYC 111                                                                        
00003	PSYC 190                                                                        
00004	PSYC 190                                                                        
00005	PSYC 190                                                                        
00006	PSYC 200W                                                                       
00007	PSYC 205                                                                        
00008	PSYC 207                                                                        
00009	PSYC 210                                                                        
00010	PSYC 212                                                                        
00011	PSYC 215                                                                        
00012	PSYC 240                                                                        
00013	PSYC 290                                                                        
00014	PSYC 302                                                                        
00015	PSYC 309                                                                        
00016	PSYC 310                                                                        
00017	PSYC 320                                                                        
00018	PSYC 353                                                                        
00019	PSYC 385                                                                        
00020	PSYC 385                                                                        
00021	PSYC 385                                                                        
00022	PSYC 390                                                                        
00023	PSYC 430                                                                        
00024	PSYC 471                                                                        
00025	PSYC 495A                                                                       
00026	PSYC 498R                                                                       
00027	PSYC 499R                                                                       
00028	PSYC 543                                                                        
00029	PSYC 547                                                                        
00030	PSYC 550                                                                        
00031	PSYC 562                                                                        
00032	PSYC 597R                                                                       
00033	PSYC 597R                                                                       
00034	PSYC 599R                                                                       
00035	PSYC 730                                                                        
00036	PSYC 750R                                                                       
00037	PSYC 750R                                                                       
00038	PSYC 750R                                                                       
00039	PSYC 750R                                                                       
00040	PSYC 770R                                                                       
00041	PSYC 777R                                                                       
00042	PSYC 778R                                                                       
00043	PSYC 797R                                                                       
00044	PSYC 799R                                                                       
