ID	TITLE
00001	PHYS 115                                                                        
00002	PHYS 116                                                                        
00003	PHYS 121                                                                        
00004	PHYS 141                                                                        
00005	PHYS 151                                                                        
00006	PHYS 190                                                                        
00007	PHYS 190                                                                        
00008	PHYS 220                                                                        
00009	PHYS 234                                                                        
00010	PHYS 253                                                                        
00011	PHYS 361                                                                        
00012	PHYS 380                                                                        
00013	PHYS 397R                                                                       
00014	PHYS 421                                                                        
00015	PHYS 444W                                                                       
00016	PHYS 495BW                                                                      
00017	PHYS 499R                                                                       
00018	PHYS 501                                                                        
00019	PHYS 502                                                                        
00020	PHYS 544                                                                        
00021	PHYS 554                                                                        
00022	PHYS 562                                                                        
00023	PHYS 590A                                                                       
00024	PHYS 590B                                                                       
00025	PHYS 597R                                                                       
00026	PHYS 598                                                                        
00027	PHYS 599R                                                                       
00028	PHYS 731R                                                                       
00029	PHYS 799R                                                                       
