ID	TITLE
00001	CHEM_OX 150                                                                     
00002	CHEM_OX 150L                                                                    
00003	CHEM_OX 202L                                                                    
00004	CHEM_OX 202Q                                                                    
00005	CHEM_OX 203                                                                     
00006	CHEM_OX 203L                                                                    
00007	CHEM_OX 204                                                                     
00008	CHEM_OX 204L                                                                    
00009	CHEM_OX 205                                                                     
00010	CHEM_OX 205L                                                                    
00011	CHEM_OX 397R                                                                    
00012	CHEM_OX 399R                                                                    
00013	CHEM_OX 399RE                                                                   
