ID	TITLE
00001	IDS 190                                                                         
00002	IDS 190                                                                         
00003	IDS 200W                                                                        
00004	IDS 205W                                                                        
00005	IDS 216W                                                                        
00006	IDS 285                                                                         
00007	IDS 285W                                                                        
00008	IDS 290R                                                                        
00009	IDS 290R                                                                        
00010	IDS 290R                                                                        
00011	IDS 290R                                                                        
00012	IDS 385                                                                         
00013	IDS 385                                                                         
00014	IDS 385                                                                         
00015	IDS 385                                                                         
00016	IDS 385W                                                                        
00017	IDS 490R                                                                        
00018	IDS 491W                                                                        
00019	IDS 495RW                                                                       
