ID	TITLE
00001	THEA 100                                                                        
00002	THEA 120                                                                        
00003	THEA 130                                                                        
00004	THEA 190                                                                        
00005	THEA 200R                                                                       
00006	THEA 210W                                                                       
00007	THEA 215                                                                        
00008	THEA 221                                                                        
00009	THEA 223                                                                        
00010	THEA 224                                                                        
00011	THEA 230                                                                        
00012	THEA 240                                                                        
00013	THEA 289                                                                        
00014	THEA 300R                                                                       
00015	THEA 316RW                                                                      
00016	THEA 319                                                                        
00017	THEA 320R                                                                       
00018	THEA 329                                                                        
00019	THEA 331                                                                        
00020	THEA 360R                                                                       
00021	THEA 361                                                                        
00022	THEA 366W                                                                       
00023	THEA 372RW                                                                      
00024	THEA 385                                                                        
00025	THEA 397R                                                                       
00026	THEA 410W                                                                       
00027	THEA 443R                                                                       
00028	THEA 494RW                                                                      
00029	THEA 496R                                                                       
