ID	TITLE
00001	ACT 200                                                                         
00002	ACT 300                                                                         
00003	ACT 312                                                                         
00004	ACT 399R                                                                        
00005	ACT 399R                                                                        
00006	ACT 399R                                                                        
00007	ACT 410                                                                         
00008	ACT 415                                                                         
00009	ACT 420                                                                         
00010	ACT 438                                                                         
00011	ACT 499R                                                                        
00012	ACT 512                                                                         
00013	ACT 520                                                                         
00014	ACT 538                                                                         
00015	ACT 599R                                                                        
00016	ACT 599R                                                                        
00017	ACT 599R                                                                        
00018	ACT 599R                                                                        
00019	ACT 599R                                                                        
00020	ACT 599R                                                                        
00021	ACT 599R                                                                        
00022	ACT 599R                                                                        
00023	ACT 612                                                                         
00024	ACT 615                                                                         
00025	ACT 650                                                                         
00026	ACT 710                                                                         
