ID	TITLE
00001	ECON 101                                                                        
00002	ECON 112                                                                        
00003	ECON 201                                                                        
00004	ECON 212                                                                        
00005	ECON 215                                                                        
00006	ECON 220                                                                        
00007	ECON 385                                                                        
00008	ECON 391                                                                        
00009	ECON 449                                                                        
00010	ECON 699R                                                                       
00011	ECON 799R                                                                       
