ID	TITLE
00001	ANES 505A                                                                       
00002	ANES 507                                                                        
00003	ANES 509                                                                        
00004	ANES 516B                                                                       
00005	ANES 520                                                                        
00006	ANES 525                                                                        
00007	ANES 530                                                                        
00008	ANES 535B                                                                       
00009	ANES 536C                                                                       
00010	ANES 540C                                                                       
00011	ANES 561C                                                                       
