ID	TITLE
00001	MDP 500                                                                         
00002	MDP 506                                                                         
00003	MDP 511                                                                         
00004	MDP 514R                                                                        
00005	MDP 514R                                                                        
00006	MDP 514R                                                                        
00007	MDP 514R                                                                        
00008	MDP 569                                                                         
00009	MDP 585                                                                         
00010	MDP 585                                                                         
00011	MDP 585                                                                         
00012	MDP 585                                                                         
00013	MDP 596R                                                                        
00014	MDP 597R                                                                        
