ID	TITLE
00001	PHYS 115                                                                        
00002	PHYS 116                                                                        
00003	PHYS 141                                                                        
00004	PHYS 151                                                                        
00005	PHYS 190                                                                        
00006	PHYS 190                                                                        
00007	PHYS 220                                                                        
00008	PHYS 234                                                                        
00009	PHYS 253                                                                        
00010	PHYS 361                                                                        
00011	PHYS 380                                                                        
00012	PHYS 380                                                                        
00013	PHYS 397R                                                                       
00014	PHYS 421                                                                        
00015	PHYS 431                                                                        
00016	PHYS 444W                                                                       
00017	PHYS 495R                                                                       
00018	PHYS 499R                                                                       
00019	PHYS 503A                                                                       
00020	PHYS 506A                                                                       
00021	PHYS 544                                                                        
00022	PHYS 556                                                                        
00023	PHYS 590A                                                                       
00024	PHYS 597R                                                                       
00025	PHYS 598                                                                        
00026	PHYS 599R                                                                       
00027	PHYS 751R                                                                       
00028	PHYS 799R                                                                       
